Analysis_Tier,Domain,Subset,Mode,Diversity_Order,Q_Label,Estimate_Definition,Estimate_Pretty,Q0_Caution,Metric,Metric_Pretty,Reference_Target_SC,Reference_Sweep_Selected,Reference_Sweep_Label,combo_id,output_rel_dir,export_selected
main_q12,Formula,All,2015,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,1,figures/main_q12/Formula/All/2015/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,All,2016,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,2,figures/main_q12/Formula/All/2016/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,All,2017,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,3,figures/main_q12/Formula/All/2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,All,2018,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,4,figures/main_q12/Formula/All/2018/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,All,2019,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,5,figures/main_q12/Formula/All/2019/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,All,2020,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,6,figures/main_q12/Formula/All/2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,All,Combo6yr,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,7,figures/main_q12/Formula/All/Combo6yr/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,All,Period1_2015_2017,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,8,figures/main_q12/Formula/All/Period1_2015_2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,All,Period2_2018_2020,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,9,figures/main_q12/Formula/All/Period2_2018_2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,PM,2015,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,10,figures/main_q12/Formula/PM/2015/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,PM,2016,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,11,figures/main_q12/Formula/PM/2016/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,PM,2017,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,12,figures/main_q12/Formula/PM/2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,PM,2018,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,13,figures/main_q12/Formula/PM/2018/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,PM,2019,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,14,figures/main_q12/Formula/PM/2019/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,PM,2020,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,15,figures/main_q12/Formula/PM/2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,PM,Combo6yr,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,16,figures/main_q12/Formula/PM/Combo6yr/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,PM,Period1_2015_2017,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,17,figures/main_q12/Formula/PM/Period1_2015_2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,PM,Period2_2018_2020,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,18,figures/main_q12/Formula/PM/Period2_2018_2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,SM,2015,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,19,figures/main_q12/Formula/SM/2015/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,SM,2016,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,20,figures/main_q12/Formula/SM/2016/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Formula,SM,2017,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.935,0.94,0.940,21,figures/main_q12/Formula/SM/2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,True
