Analysis_Tier,Domain,Subset,Mode,Diversity_Order,Q_Label,Estimate_Definition,Estimate_Pretty,Q0_Caution,Metric,Metric_Pretty,Reference_Target_SC,Reference_Sweep_Selected,Reference_Sweep_Label,combo_id,output_rel_dir,export_selected
main_q12,ATC_L1,All,2015,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,1,figures/main_q12/ATC_L1/All/2015/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,All,2016,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,2,figures/main_q12/ATC_L1/All/2016/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,All,2017,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,3,figures/main_q12/ATC_L1/All/2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,All,2018,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,4,figures/main_q12/ATC_L1/All/2018/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,All,2019,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,5,figures/main_q12/ATC_L1/All/2019/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,All,2020,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,6,figures/main_q12/ATC_L1/All/2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,All,Combo6yr,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,7,figures/main_q12/ATC_L1/All/Combo6yr/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,All,Period1_2015_2017,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,8,figures/main_q12/ATC_L1/All/Period1_2015_2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,All,Period2_2018_2020,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,9,figures/main_q12/ATC_L1/All/Period2_2018_2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,PM,2015,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,10,figures/main_q12/ATC_L1/PM/2015/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,PM,2016,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,11,figures/main_q12/ATC_L1/PM/2016/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,PM,2017,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,12,figures/main_q12/ATC_L1/PM/2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,PM,2018,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,13,figures/main_q12/ATC_L1/PM/2018/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,PM,2019,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,14,figures/main_q12/ATC_L1/PM/2019/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,PM,2020,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,15,figures/main_q12/ATC_L1/PM/2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,PM,Combo6yr,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,16,figures/main_q12/ATC_L1/PM/Combo6yr/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,PM,Period1_2015_2017,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,17,figures/main_q12/ATC_L1/PM/Period1_2015_2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,PM,Period2_2018_2020,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,18,figures/main_q12/ATC_L1/PM/Period2_2018_2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,SM,2015,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,19,figures/main_q12/ATC_L1/SM/2015/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,SM,2016,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,20,figures/main_q12/ATC_L1/SM/2016/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,SM,2017,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,21,figures/main_q12/ATC_L1/SM/2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,SM,2018,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,22,figures/main_q12/ATC_L1/SM/2018/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
main_q12,ATC_L1,SM,2019,2,q2,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.96,23,figures/main_q12/ATC_L1/SM/2019/q2/Stage2_iNEXT_TD_m_est/CliffsDelta,False
