Formula,High-EI 2014,High-EI 2015,High-EI 2016,High-EI 2017,High-EI 2018,High-EI 2019,High-EI 2020,Low-EI 2015,Low-EI 2016,Low-EI 2017,Low-EI 2018,Low-EI 2019,Low-EI 2020,KEGG ID,PC4 loadings
C17H19N4O10P,0,0,0,0,0,0,372.3333333333,0,0,0,15976,22875.6666666667,54832.6666666667,C21803,-0.1153689963
C17H21N4O9P,0,0,0,0,0,9069.1666666667,19337.8333333333,0,0,13713,121181.666666667,126918.333333333,339727.166666667,C00061,-0.1138724387
C23H20O11,0,15623,0,11645.5,1683.4444444445,27348.8333333333,75293.5,0,0,29631.5,267233,358718,891132.666666667,C06801,-0.1096546052
C8H8O5,0,0,0,0,0,0,0,0,0,0,0,20105.6666666667,62970,C05580 | C05616,-0.101770348
C19H25N5O4,0,0,0,0,0,0,0,0,0,0,20311.3333333333,0,11478,C07127,-0.1015646511
C2H8NO3P,0,0,0,0,0,0,0,0,0,0,0,7849.3333333333,19858.3333333333,C03557 | C03782,-0.1011809586
C9H10O5,0,0,0,0,0,1443.1666666667,0,0,0,0,0,10566.8333333333,31615.6666666667,C01207 | C05584 | C10833 | C21086 | C22038,-0.0995271422
C8H6O4,0,0,0,0,0,680,2399.6666666667,0,0,0,12690.7777777778,27687.6666666667,28877.5555555556,C01606 | C03590 | C06337 | C14096 | C14100 | C22203,-0.0993070289
C16H25NO10,0,0,0,0,0,0,0,0,0,0,0,0,37440.6666666667,C08337,-0.0981991427
C23H16O11,0,0,0,0,0,0,0,0,0,0,0,0,18063.3333333333,C06928,-0.0981991427
C24H22O11,0,0,0,0,0,0,0,0,0,0,0,0,9242.6666666667,C04385 | C12380,-0.0981991427
C24H46O4,0,0,0,0,0,0,0,0,0,0,0,0,2742,C19438,-0.0981991427
C20H20O8,0,0,0,0,0,0,0,0,0,0,0,0,8387.3333333333,C20500 | C20501,-0.0981991427
C8H9NO,0,0,0,0,13589.6666666667,4228.5,10122.8333333333,0,0,0,44561.5,11981.6666666667,53187.8333333333,C02505 | C07565 | C15561 | C16075 | C19714,-0.0953768575
C25H24O9,0,0,0,0,0,0,9350,0,0,0,12186.3333333333,0,39940,C12403 | C12407 | C18778,-0.0918054044
C10H13N5O5,0,0,0,0,0,0,2781.6666666667,0,0,0,0,0,27509,C00387 | C08432,-0.0891350826
C5H11N3O2,0,0,0,0,0,6210,7185.6666666667,11225,10553,6652,28547.6666666667,91929,68956,C01035,-0.0883993222
C10H13N5O4,0,0,0,0,1266.3333333333,1867.6666666667,1019,0,0,0,7786,9629.1666666667,7986,C00212 | C00330 | C07210,-0.0879850601
C2H4O2Cl2,0,0,0,0,1657.6666666667,0,2218.3333333333,0,0,0,601,0,22667.6666666667,C14860,-0.0878264489
C19H21N5O4,0,0,0,0,4716.3333333333,0,9827,0,0,0,49777,0,33515,C07368,-0.0875656389
C12H21N3O6,7239,6716,0,4236,1439,1317,3790,0,0,4415,10823.3333333333,36680.3333333333,27634.3333333333,C05324,-0.0873137327
C16H16O8,0,0,0,0,0,0,1382,0,0,0,0,0,9608,C10296 | C10434,-0.0850245497
C10H15N6O6P,0,0,0,0,4830,0,3683,0,0,0,31385.3333333333,0,16061.6666666667,C01655 | C03851 | C07026,-0.0828739009
