Formula,High-EI 2014,High-EI 2015,High-EI 2016,High-EI 2017,High-EI 2018,High-EI 2019,High-EI 2020,Low-EI 2015,Low-EI 2016,Low-EI 2017,Low-EI 2018,Low-EI 2019,Low-EI 2020
C17H19N4O10P,0,0,0,0,0,0,372.3333333333,0,0,0,15976,22875.6666666667,54832.6666666667
C17H21N4O9P,0,0,0,0,0,9069.1666666667,19337.8333333333,0,0,13713,121181.666666667,126918.333333333,339727.166666667
C23H20O11,0,15623,0,11645.5,1683.4444444445,27348.8333333333,75293.5,0,0,29631.5,267233,358718,891132.666666667
C8H8O5,0,0,0,0,0,0,0,0,0,0,0,20105.6666666667,62970
C19H25N5O4,0,0,0,0,0,0,0,0,0,0,20311.3333333333,0,11478
C2H8NO3P,0,0,0,0,0,0,0,0,0,0,0,7849.3333333333,19858.3333333333
C9H10O5,0,0,0,0,0,1443.1666666667,0,0,0,0,0,10566.8333333333,31615.6666666667
C8H6O4,0,0,0,0,0,680,2399.6666666667,0,0,0,12690.7777777778,27687.6666666667,28877.5555555556
C16H25NO10,0,0,0,0,0,0,0,0,0,0,0,0,37440.6666666667
C23H16O11,0,0,0,0,0,0,0,0,0,0,0,0,18063.3333333333
C24H22O11,0,0,0,0,0,0,0,0,0,0,0,0,9242.6666666667
C24H46O4,0,0,0,0,0,0,0,0,0,0,0,0,2742
C20H20O8,0,0,0,0,0,0,0,0,0,0,0,0,8387.3333333333
C8H9NO,0,0,0,0,13589.6666666667,4228.5,10122.8333333333,0,0,0,44561.5,11981.6666666667,53187.8333333333
C25H24O9,0,0,0,0,0,0,9350,0,0,0,12186.3333333333,0,39940
C10H13N5O5,0,0,0,0,0,0,2781.6666666667,0,0,0,0,0,27509
C5H11N3O2,0,0,0,0,0,6210,7185.6666666667,11225,10553,6652,28547.6666666667,91929,68956
C10H13N5O4,0,0,0,0,1266.3333333333,1867.6666666667,1019,0,0,0,7786,9629.1666666667,7986
C2H4O2Cl2,0,0,0,0,1657.6666666667,0,2218.3333333333,0,0,0,601,0,22667.6666666667
C19H21N5O4,0,0,0,0,4716.3333333333,0,9827,0,0,0,49777,0,33515
C12H21N3O6,7239,6716,0,4236,1439,1317,3790,0,0,4415,10823.3333333333,36680.3333333333,27634.3333333333
C16H16O8,0,0,0,0,0,0,1382,0,0,0,0,0,9608
C10H15N6O6P,0,0,0,0,4830,0,3683,0,0,0,31385.3333333333,0,16061.6666666667
C11H12N2O3,0,0,0,0,0,1627,0,0,0,0,0,7217,7974.6666666667
C20H20O7,0,0,0,0,0,0,2303.3333333333,0,0,0,0,0,11985.6666666667
C14H16O10,85472,66840,21522,34048,130943.333333333,258883,245049.666666667,157328,37035,63117.5,433018.444444445,619097.666666667,695980.666666667
C9H11NO3,0,8640,0,0,86622.3333333333,51226.6666666667,34126.8333333333,13050,8746,17244,229982.666666667,157635.166666667,145461.5
C16H18O8,7071.5714285714,13765.7142857143,8643,4826,15635,22705.5,80058,13896.7142857143,15101,19204,100381,58505.3333333333,141890.5
C14H14O9,0,0,0,0,0,1530.3333333333,0,0,0,0,0,12846.3333333333,9929.6666666667
C14H6O8,0,0,0,0,9907.6666666667,0,10454.6666666667,0,0,0,59991.3333333333,0,26841.6666666667
C21H22O12,0,0,0,0,0,1065.6666666667,8795.6666666667,0,0,0,11550.3333333333,4760.6666666667,15504.3333333333
C16H18O9,0,0,0,0,5915.6666666667,9488.6666666667,33679.3333333333,0,0,0,64363,23273.6666666667,61261
C9H11NO2,26736,39447,12561,30845,250272,532619.666666667,210720.333333333,42771,36776,79585,1501563,1426485.33333333,920374.333333333
C15H14N4O2,0,0,0,0,0,0,2718.6666666667,0,0,0,0,0,9318.6666666667
C21H22O11,0,11477,0,0,7577.6666666667,21191,25391,0,8022,0,42397.1666666667,50999.3333333333,56737.1666666667
C18H30O2,545.5,533.25,0,0,0,0,1684.3333333333,739.5,0,0,0,0,4963.6666666667
C11H16,0,0,0,0,0,0,2772.1666666667,0,0,0,1116.3333333333,0,6891.1666666667
C15H24O,0,0,0,0,2028.5,3873.1666666667,6258.1333333333,0,0,0,6099.6666666667,15823,17807.4666666667
C25H26O7,0,0,0,0,4210.6666666667,1840.6666666667,7087.3333333333,0,0,0,5862.6666666667,9472,17748.6666666667
C27H32O15,0,0,0,0,12341.3333333333,7307.6666666667,14395.3333333333,0,0,0,17491.6666666667,18065,37933.5
C10H11NO4,0,0,0,0,0,0,2772,0,0,0,0,0,7950.6666666667
C12H18O7S,0,0,0,0,0,0,66287,12254,8741,22102,0,0,175989.333333333
C11H15N5O3S,0,0,0,0,23938.6666666667,32983,37837.6666666667,0,0,0,100445.333333333,114699,84132
C8H6O,0,0,0,0,14409.7333333333,16189.3333333333,36927.1111111111,0,0,0,53219.3333333333,37890.4444444444,67452.6666666667
C11H18N2O7,0,0,0,0,4352.3333333333,1482.3333333333,3253.3333333333,0,0,0,2704.3333333333,12040,12366.6666666667
C4H10N2O,0,0,0,0,0,0,906.3333333333,0,0,0,0,0,2236.3333333333
C16H12O8,0,0,0,0,11662.6666666667,0,4172.7777777778,0,0,0,9024.3333333333,12177,14414.1111111111
C6H12N2O,12755,0,0,0,47479.3333333333,82101.6666666667,57079.3333333333,10492,16539,14084,113599,282488.333333333,184424.666666667
C18H23N5O6,0,0,0,0,0,0,0,0,0,0,5345.6666666667,0,0
C15H28O11,0,0,0,0,0,0,0,0,0,0,6864.6666666667,0,0
C22H25N2OS,0,0,0,0,0,0,0,0,0,0,7203.6666666667,0,0
C25H22O9,0,0,0,0,0,0,0,0,0,0,20949.3333333333,0,0
C34H48O2,0,0,0,0,0,0,0,0,0,0,9035.3333333333,0,0
C6H4O3,0,0,0,0,0,0,0,0,0,0,4606.3333333333,4305.3333333333,0
C8H16O4,0,0,0,0,13662.6666666667,18945.6666666667,14639,0,4513,3097,31106.6666666667,63292,42645
C7H14N2O3,259560,166837.5,149297.5,212729,2184810.5,2470256.83333333,1895304.66666667,223783.5,444625,474363,3712703.16666667,8209173,5772393.83333333
C9H6O2,4491.6666666667,8663.3333333333,3813,0,84848.5,110093.933333333,152087.904761905,9100.6666666667,0,9573,300571.166666667,204007,255272.904761905
C6H13NO2,10959,19966,0,14024,105839.555555556,258727.833333333,86982.8888888889,31984,40486,64354,411646,701461.166666667,329296.222222222
C15H22,0,0,0,0,786.6666666667,2802.3333333333,4336.8333333333,0,0,0,3340.6666666667,4067.3333333333,8932
C9H9N,0,0,0,0,5985.3333333333,10254.3333333333,5572.3333333333,0,0,0,19766,29705.3333333333,16446
C30H26O13,25150,10526.6666666667,33683,23439.6666666667,66727.2222222222,50693.3333333333,49442.4666666667,12142.3333333333,19819,19864.6666666667,123595.444444444,47251.8888888889,92587.8666666667
C10H15N4O9P,0,0,0,0,782,0,0,0,0,0,11586.6666666667,0,0
C14H12O5,0,0,0,0,4195.8333333333,10491,974.6666666667,0,0,0,8260.8333333333,8410.6666666667,11751
C20H18O9,0,0,0,0,1496,8944,9388.1666666667,0,0,0,6595.5,11507.8333333333,21871.6666666667
C16H14O4S2,0,0,0,0,15062,0,5918.6666666667,0,0,0,18992,0,16164.6666666667
C20H18O10,0,0,0,0,15240.6666666667,21265.1111111111,33823.6666666667,0,0,0,44617.8333333333,33207.8888888889,56749.5555555556
C16H29NO5,0,0,0,0,0,0,12989.8333333333,0,0,0,0,0,26047.5
C17H19N4O11P,0,0,0,0,9869,5080,0,0,0,0,12442.6666666667,7851,7398.3333333333
C30H24O12,2929.5,754,0,6132,8140.6666666667,16244,16472.3333333333,4087.5,0,3298,10175.4444444444,20136,37724
C18H34O3,854,1341.5,0,0,1527,0,0,0,0,0,6696.3333333333,0,0
C15H12O4,0,0,0,0,13398.8333333333,9752.8333333333,22152.3333333333,0,0,0,21966.6666666667,18305,38523.3333333333
