profile_id,profile_label,year,condition,source_column,included_in_paired_steps_7_8
syneco_2014,Synecoculture 2014,2014,Synecoculture,High-EI 2014,False
syneco_2015,Synecoculture 2015,2015,Synecoculture,High-EI 2015,True
syneco_2016,Synecoculture 2016,2016,Synecoculture,High-EI 2016,True
syneco_2017,Synecoculture 2017,2017,Synecoculture,High-EI 2017,True
syneco_2018,Synecoculture 2018,2018,Synecoculture,High-EI 2018,True
syneco_2019,Synecoculture 2019,2019,Synecoculture,High-EI 2019,True
syneco_2020,Synecoculture 2020,2020,Synecoculture,High-EI 2020,True
conventional_2015,Conventional 2015,2015,Conventional,Low-EI 2015,True
conventional_2016,Conventional 2016,2016,Conventional,Low-EI 2016,True
conventional_2017,Conventional 2017,2017,Conventional,Low-EI 2017,True
conventional_2018,Conventional 2018,2018,Conventional,Low-EI 2018,True
conventional_2019,Conventional 2019,2019,Conventional,Low-EI 2019,True
conventional_2020,Conventional 2020,2020,Conventional,Low-EI 2020,True
