"","Carbohydrate metabolism","Lipid/glycolipid metabolism","Nucleotide metabolism","Amino acid metabolism","Glycan/glycoprotein metabolism","Cofactor/vitamin metabolism","Replication and repair","Signal transduction","Cellular process","Immune system","Endocrine system"
"C17H19N4O10P",0,0,0,0,0,0,0,0,0,0,0
"C17H21N4O9P",0,0,0,0,0,0,0,0,0,0,0
"C23H20O11",0,0,0,0,0,0,0,0,0,0,0
"C8H8O5",0,0,0,0,0,0,0,0,0,0,0
"C19H25N5O4",0,0,0,0,0,0,0,0,0,0,0
"C2H8NO3P",0,0,0,0,0,0,0,0,0,0,0
"C9H10O5",0,0,0,0,0,0,0,0,0,0,0
"C8H6O4",0,0,0,0,0,0,0,0,0,0,0
"C16H25NO10",0,0,0,0,0,0,0,0,0,0,0
"C23H16O11",0,0,0,0,0,0,0,0,0,0,0
"C24H22O11",0,0,0,0,0,0,0,0,0,0,0
"C24H46O4",0,0,0,0,0,0,0,0,0,0,0
"C20H20O8",0,0,0,0,0,0,0,0,0,0,0
"C8H9NO",0,0,0,0,0,0,0,0,0,0,0
"C25H24O9",0,0,0,0,0,0,0,0,0,0,0
"C10H13N5O5",0,0,0,0,0,0,0,0,0,0,0
"C5H11N3O2",0,0,0,0,0,0,0,0,0,0,0
"C10H13N5O4",0,1,0,1,1,1,1,1,1,1,1
"C2H4O2Cl2",0,0,0,0,0,0,0,0,0,0,0
"C19H21N5O4",0,0,0,0,0,0,0,0,0,0,0
"C12H21N3O6",0,0,0,0,0,0,0,0,0,0,0
"C16H16O8",0,0,0,0,0,0,0,0,0,0,0
"C10H15N6O6P",0,0,0,0,0,0,0,0,0,0,0
"C11H12N2O3",0,0,0,0,0,0,0,0,0,0,0
"C20H20O7",0,0,0,0,0,0,0,0,0,0,0
"C14H16O10",0,0,0,0,0,0,0,0,0,0,0
"C9H11NO3",0,1,0,1,1,1,1,1,1,1,1
"C16H18O8",0,0,0,0,0,0,0,0,0,0,0
"C14H14O9",0,0,0,0,0,0,0,0,0,0,0
"C14H6O8",0,0,0,0,0,0,0,0,0,0,0
"C21H22O12",0,0,0,0,0,0,0,0,0,0,0
"C16H18O9",0,0,0,0,0,0,0,0,0,0,0
"C9H11NO2",0,0,0,1,0,0,0,0,0,0,0
"C15H14N4O2",0,0,0,0,0,0,0,0,0,0,0
"C21H22O11",0,0,0,0,0,0,0,0,0,0,0
"C18H30O2",0,0,0,0,0,0,0,0,0,0,0
"C11H16",0,0,0,0,0,0,0,0,0,0,0
"C15H24O",0,0,0,0,0,0,0,0,0,0,0
"C25H26O7",0,0,0,0,0,0,0,0,0,0,0
"C27H32O15",0,0,0,0,0,0,0,0,0,0,0
"C10H11NO4",0,0,0,0,0,0,0,0,0,0,0
"C12H18O7S",0,0,0,0,0,0,0,0,0,0,0
"C11H15N5O3S",0,0,0,0,0,0,0,0,0,0,0
"C8H6O",0,0,0,0,0,0,0,0,0,0,0
"C11H18N2O7",0,0,0,0,0,0,0,0,0,0,0
"C4H10N2O",0,0,0,0,0,0,0,0,0,0,0
"C16H12O8",0,0,0,0,0,0,0,0,0,0,0
"C6H12N2O",0,0,0,0,0,0,0,0,0,0,0
"C18H23N5O6",0,0,0,0,0,0,0,0,0,0,0
"C15H28O11",0,0,0,0,0,0,0,0,0,0,0
"C22H25N2OS",0,0,0,0,0,0,0,0,0,0,0
"C25H22O9",0,0,0,0,0,0,0,0,0,0,0
"C34H48O2",0,0,0,0,0,0,0,0,0,0,0
"C6H4O3",0,0,0,0,0,0,0,0,0,0,0
"C8H16O4",0,0,0,0,0,0,0,0,0,0,0
"C7H14N2O3",0,0,0,0,0,0,0,0,0,0,0
"C9H6O2",0,0,0,0,0,0,0,0,0,0,0
"C6H13NO2",1,0,0,1,0,1,0,0,0,0,0
"C15H22",0,0,0,0,0,0,0,0,0,0,0
