Domain	Subset	N_Partitions	Sweep_Set	Cultivation_System	Region_Index	Region_Label	Cutoff_Count	Expected_Cells	Period1_Large_Cells	Period1_Large_Eval_Pct	Period2_Large_Cells	Period2_Large_Eval_Pct	Common_Large_Cells	Common_Large_Eval_Pct
Brite	All	1	finite99	Conventional	1	entire signed-cutoff range	199	19701	11122	56.453987	8229	41.769453	7930	40.251764
Brite	All	1	finite99	Synecoculture	1	entire signed-cutoff range	199	19701	962	4.883001	1014	5.146947	452	2.294300
Brite	PM	1	finite99	Conventional	1	entire signed-cutoff range	199	19701	10558	53.591188	8608	43.693214	8435	42.815086
Brite	PM	1	finite99	Synecoculture	1	entire signed-cutoff range	199	19701	1159	5.882950	591	2.999848	500	2.537942
Brite	SM	1	finite99	Conventional	1	entire signed-cutoff range	199	19701	8994	45.652505	7820	39.693417	6696	33.988122
Brite	SM	1	finite99	Synecoculture	1	entire signed-cutoff range	199	19701	893	4.532765	1451	7.365108	180	0.913659
Formula	All	1	finite99	Conventional	1	entire signed-cutoff range	199	19701	8978	45.571291	7658	38.871123	7040	35.734227
Formula	All	1	finite99	Synecoculture	1	entire signed-cutoff range	199	19701	2577	13.080554	1286	6.527587	5	0.025379
Formula	PM	1	finite99	Conventional	1	entire signed-cutoff range	199	19701	7768	39.429471	8030	40.759352	5821	29.546724
Formula	PM	1	finite99	Synecoculture	1	entire signed-cutoff range	199	19701	1608	8.162022	916	4.649510	0	0.000000
Formula	SM	1	finite99	Conventional	1	entire signed-cutoff range	199	19701	1879	9.537587	4180	21.217197	693	3.517588
Formula	SM	1	finite99	Synecoculture	1	entire signed-cutoff range	199	19701	8485	43.068880	1778	9.024923	1026	5.207857
Pathway	All	1	finite99	Conventional	1	entire signed-cutoff range	199	19701	10531	53.454139	10063	51.078625	8719	44.256637
Pathway	All	1	finite99	Synecoculture	1	entire signed-cutoff range	199	19701	2424	12.303944	710	3.603878	472	2.395817
Pathway	PM	1	finite99	Conventional	1	entire signed-cutoff range	199	19701	10538	53.489671	9710	49.286838	8393	42.601898
Pathway	PM	1	finite99	Synecoculture	1	entire signed-cutoff range	199	19701	2585	13.121161	581	2.949089	513	2.603929
Pathway	SM	1	finite99	Conventional	1	entire signed-cutoff range	199	19701	9197	46.682909	8532	43.307446	7449	37.810263
Pathway	SM	1	finite99	Synecoculture	1	entire signed-cutoff range	199	19701	3177	16.126085	1381	7.009796	848	4.304350
Brite	All	2	finite99	Conventional	1	bin 1/2: low-to-middle signed-cutoff region	100	9900	8171	82.535354	8171	82.535354	7872	79.515152
Brite	All	2	finite99	Conventional	2	bin 2/2: high signed-tail side	99	9801	2951	30.109173	58	0.591776	58	0.591776
Brite	All	2	finite99	Synecoculture	1	bin 1/2: low-to-middle signed-cutoff region	100	9900	737	7.444444	585	5.909091	452	4.565657
Brite	All	2	finite99	Synecoculture	2	bin 2/2: high signed-tail side	99	9801	225	2.295684	429	4.377104	0	0.000000
Brite	PM	2	finite99	Conventional	1	bin 1/2: low-to-middle signed-cutoff region	100	9900	7856	79.353535	7733	78.111111	7560	76.363636
Brite	PM	2	finite99	Conventional	2	bin 2/2: high signed-tail side	99	9801	2702	27.568615	875	8.927660	875	8.927660
Brite	PM	2	finite99	Synecoculture	1	bin 1/2: low-to-middle signed-cutoff region	100	9900	715	7.222222	589	5.949495	500	5.050505
Brite	PM	2	finite99	Synecoculture	2	bin 2/2: high signed-tail side	99	9801	444	4.530150	2	0.020406	0	0.000000
Brite	SM	2	finite99	Conventional	1	bin 1/2: low-to-middle signed-cutoff region	100	9900	7171	72.434343	7808	78.868687	6692	67.595960
Brite	SM	2	finite99	Conventional	2	bin 2/2: high signed-tail side	99	9801	1823	18.600143	12	0.122436	4	0.040812
Brite	SM	2	finite99	Synecoculture	1	bin 1/2: low-to-middle signed-cutoff region	100	9900	485	4.898990	683	6.898990	178	1.797980
Brite	SM	2	finite99	Synecoculture	2	bin 2/2: high signed-tail side	99	9801	408	4.162841	768	7.835935	2	0.020406
Formula	All	2	finite99	Conventional	1	bin 1/2: low-to-middle signed-cutoff region	100	9900	8970	90.606061	7509	75.848485	7040	71.111111
Formula	All	2	finite99	Conventional	2	bin 2/2: high signed-tail side	99	9801	8	0.081624	149	1.520253	0	0.000000
Formula	All	2	finite99	Synecoculture	1	bin 1/2: low-to-middle signed-cutoff region	100	9900	215	2.171717	1277	12.898990	0	0.000000
Formula	All	2	finite99	Synecoculture	2	bin 2/2: high signed-tail side	99	9801	2362	24.099582	9	0.091827	5	0.051015
Formula	PM	2	finite99	Conventional	1	bin 1/2: low-to-middle signed-cutoff region	100	9900	6956	70.262626	7678	77.555556	5616	56.727273
Formula	PM	2	finite99	Conventional	2	bin 2/2: high signed-tail side	99	9801	812	8.284869	352	3.591470	205	2.091623
Formula	PM	2	finite99	Synecoculture	1	bin 1/2: low-to-middle signed-cutoff region	100	9900	332	3.353535	833	8.414141	0	0.000000
Formula	PM	2	finite99	Synecoculture	2	bin 2/2: high signed-tail side	99	9801	1276	13.019080	83	0.846852	0	0.000000
Formula	SM	2	finite99	Conventional	1	bin 1/2: low-to-middle signed-cutoff region	100	9900	1876	18.949495	4180	42.222222	693	7.000000
Formula	SM	2	finite99	Conventional	2	bin 2/2: high signed-tail side	99	9801	3	0.030609	0	0.000000	0	0.000000
