Domain	Subset	Mode	N_Partitions	Sweep_Set	Region_Index	Region_Label	Cutoff_Count	Expected_Cells	Eval_Cells	Finite_Value_Cells	Primary_Eligible_Cells	Finite_Eligible_Cells	Finite_Eligible_Eval_Pct	Positive_Cells	Positive_Eval_Pct	Negative_Cells	Negative_Eval_Pct	Zero_Cells	Large_Positive_Cells	Large_Positive_Eval_Pct	Large_Positive_Eligible_Pct	Large_Negative_Cells	Large_Negative_Eval_Pct	Large_Negative_Eligible_Pct	Mean_Value	Median_Value
Brite	All	Combo6yr	3	all100	1	low signed-tail region	66	6600	6600	6600	6534	6534	99.000000	0	0.000000	5842	88.515152	692	0	0.000000	0.000000	5842	88.515152	89.409244	-0.893939	-1.000000
Brite	All	Combo6yr	3	all100	2	middle signed-cutoff region	67	6700	6700	6700	6633	6633	99.000000	2088	31.164179	4005	59.776119	540	705	10.522388	10.628675	2285	34.104478	34.448967	-0.241916	-0.034722
Brite	All	Combo6yr	3	all100	3	high signed-tail region	66	6600	6600	6600	6534	6534	99.000000	2126	32.212121	3880	58.787879	528	434	6.575758	6.642179	2616	39.636364	40.036731	-0.250408	-0.208333
Brite	All	Period1_2015_2017	3	all100	1	low signed-tail region	66	6600	6600	6600	6534	6534	99.000000	0	0.000000	5857	88.742424	677	0	0.000000	0.000000	5857	88.742424	89.638812	-0.895776	-1.000000
Brite	All	Period1_2015_2017	3	all100	2	middle signed-cutoff region	67	6700	6700	6700	6633	6633	99.000000	2014	30.059701	4151	61.955224	468	737	11.000000	11.111111	2314	34.537313	34.886175	-0.246175	-0.055556
Brite	All	Period1_2015_2017	3	all100	3	high signed-tail region	66	6600	6600	6600	6534	6534	99.000000	1724	26.121212	4313	65.348485	497	225	3.409091	3.443526	2951	44.712121	45.163759	-0.370775	-0.333333
Brite	All	Period2_2018_2020	3	all100	1	low signed-tail region	66	6600	6600	6600	6534	6534	99.000000	0	0.000000	5811	88.045455	723	0	0.000000	0.000000	5811	88.045455	88.934803	-0.889195	-1.000000
Brite	All	Period2_2018_2020	3	all100	2	middle signed-cutoff region	67	6700	6700	6700	6633	6633	99.000000	1649	24.611940	4500	67.164179	484	585	8.731343	8.819539	2360	35.223881	35.579677	-0.278487	-0.052083
Brite	All	Period2_2018_2020	3	all100	3	high signed-tail region	66	6600	6600	6600	6534	6534	99.000000	2870	43.484848	3173	48.075758	491	429	6.500000	6.565657	58	0.878788	0.887665	0.068048	0.000000
Brite	PM	Combo6yr	3	all100	1	low signed-tail region	66	6600	6600	6600	6534	6534	99.000000	0	0.000000	5528	83.757576	1006	0	0.000000	0.000000	5528	83.757576	84.603612	-0.845960	-1.000000
Brite	PM	Combo6yr	3	all100	2	middle signed-cutoff region	67	6700	6700	3400	3366	3366	50.238806	704	10.507463	2288	34.149254	374	663	9.895522	19.696970	2217	33.089552	65.864528	-0.465348	-1.000000
Brite	PM	Combo6yr	3	all100	3	high signed-tail region	66	6600	6600	5800	5608	5608	84.969697	1015	15.378788	3257	49.348485	1336	540	8.181818	9.629101	2689	40.742424	47.949358	-0.407162	-0.215278
Brite	PM	Period1_2015_2017	3	all100	1	low signed-tail region	66	6600	6600	6600	6534	6534	99.000000	0	0.000000	5674	85.969697	860	0	0.000000	0.000000	5674	85.969697	86.838078	-0.867998	-1.000000
Brite	PM	Period1_2015_2017	3	all100	2	middle signed-cutoff region	67	6700	6700	3400	3366	3366	50.238806	810	12.089552	2268	33.850746	288	715	10.671642	21.241830	2182	32.567164	64.824718	-0.434129	-1.000000
Brite	PM	Period1_2015_2017	3	all100	3	high signed-tail region	66	6600	6600	5800	5607	5607	84.954545	1019	15.439394	3254	49.303030	1334	444	6.727273	7.918673	2702	40.939394	48.189763	-0.412869	-0.215278
Brite	PM	Period2_2018_2020	3	all100	1	low signed-tail region	66	6600	6600	6600	6534	6534	99.000000	0	0.000000	5477	82.984848	1057	0	0.000000	0.000000	5477	82.984848	83.823079	-0.837848	-1.000000
Brite	PM	Period2_2018_2020	3	all100	2	middle signed-cutoff region	67	6700	6700	3400	3366	3366	50.238806	605	9.029851	2346	35.014925	415	589	8.791045	17.498515	2256	33.671642	67.023173	-0.494314	-1.000000
Brite	PM	Period2_2018_2020	3	all100	3	high signed-tail region	66	6600	6600	2400	2237	2237	33.893939	368	5.575758	1313	19.893939	556	2	0.030303	0.089405	875	13.257576	39.114886	-0.399835	-0.083333
Brite	SM	Combo6yr	3	all100	1	low signed-tail region	66	6600	6600	6600	6534	6534	99.000000	0	0.000000	5559	84.227273	975	0	0.000000	0.000000	5559	84.227273	85.078053	-0.850627	-1.000000
Brite	SM	Combo6yr	3	all100	2	middle signed-cutoff region	67	6700	6700	6700	6633	6633	99.000000	2385	35.597015	3621	54.044776	627	698	10.417910	10.523142	2295	34.253731	34.599729	-0.248182	-0.027778
Brite	SM	Combo6yr	3	all100	3	high signed-tail region	66	6600	6600	6600	6534	6534	99.000000	4614	69.909091	1333	20.196970	587	1053	15.954545	16.115702	21	0.318182	0.321396	0.193877	0.131944
Brite	SM	Period1_2015_2017	3	all100	1	low signed-tail region	66	6600	6600	6600	6534	6534	99.000000	376	5.696970	4917	74.500000	1241	211	3.196970	3.229262	4757	72.075758	72.803796	-0.664351	-0.986111
Brite	SM	Period1_2015_2017	3	all100	2	middle signed-cutoff region	67	6700	6700	6700	6633	6633	99.000000	1781	26.582090	4258	63.552239	594	274	4.089552	4.130861	2414	36.029851	36.393789	-0.308604	-0.052083
Brite	SM	Period1_2015_2017	3	all100	3	high signed-tail region	66	6600	6600	6600	6534	6534	99.000000	2622	39.727273	3358	50.878788	554	408	6.181818	6.244261	1823	27.621212	27.900214	-0.138617	-0.006944
Brite	SM	Period2_2018_2020	3	all100	1	low signed-tail region	66	6600	6600	6600	6534	6534	99.000000	0	0.000000	5610	85.000000	924	0	0.000000	0.000000	5610	85.000000	85.858586	-0.858586	-1.000000
Brite	SM	Period2_2018_2020	3	all100	2	middle signed-cutoff region	67	6700	6700	6700	6633	6633	99.000000	2115	31.567164	3949	58.940299	569	683	10.194030	10.297000	2198	32.805970	33.137344	-0.222240	-0.041667
Brite	SM	Period2_2018_2020	3	all100	3	high signed-tail region	66	6600	6600	6600	6534	6534	99.000000	4050	61.363636	1909	28.924242	575	768	11.636364	11.753903	12	0.181818	0.183655	0.132599	0.027778
Formula	All	Combo6yr	3	all100	1	low signed-tail region	66	6600	6600	6600	6534	6534	99.000000	0	0.000000	6143	93.075758	391	0	0.000000	0.000000	6017	91.166667	92.087542	-0.919662	-1.000000
Formula	All	Combo6yr	3	all100	2	middle signed-cutoff region	67	6700	6700	6700	6633	6633	99.000000	1091	16.283582	2182	32.567164	3360	946	14.119403	14.262023	2053	30.641791	30.951304	-0.160136	0.000000
Formula	All	Combo6yr	3	all100	3	high signed-tail region	66	6600	6600	6600	6531	6531	98.954545	3352	50.787879	438	6.636364	2741	1656	25.090909	25.355994	62	0.939394	0.949319	0.230800	0.034722
Formula	All	Period1_2015_2017	3	all100	1	low signed-tail region	66	6600	6600	6600	6530	6530	98.939394	238	3.606061	5992	90.787879	300	129	1.954545	1.975498	5866	88.878788	89.831547	-0.829608	-1.000000
Formula	All	Period1_2015_2017	3	all100	2	middle signed-cutoff region	67	6700	6700	6700	6625	6625	98.880597	86	1.283582	3222	48.089552	3317	86	1.283582	1.298113	3104	46.328358	46.852830	-0.444965	0.000000
Formula	All	Period1_2015_2017	3	all100	3	high signed-tail region	66	6600	6600	6600	6532	6532	98.969697	3702	56.090909	423	6.409091	2407	2362	35.787879	36.160441	8	0.121212	0.122474	0.313166	0.215278
Formula	All	Period2_2018_2020	3	all100	1	low signed-tail region	66	6600	6600	6600	6533	6533	98.984848	0	0.000000	6070	91.969697	463	0	0.000000	0.000000	6070	91.969697	92.912904	-0.904243	-0.986111
Formula	All	Period2_2018_2020	3	all100	2	middle signed-cutoff region	67	6700	6700	6700	6631	6631	98.970149	1502	22.417910	1717	25.626866	3412	1277	19.059701	19.258030	1439	21.477612	21.701101	-0.030610	0.000000
