Domain,Subset,Mode,N_Partitions,Sweep_Set,Region_Index,Region_Label,Cutoff_Count,Expected_Cells,Eval_Cells,Finite_Value_Cells,Primary_Eligible_Cells,Finite_Eligible_Cells,Finite_Eligible_Eval_Pct,Positive_Cells,Positive_Eval_Pct,Negative_Cells,Negative_Eval_Pct,Zero_Cells,Large_Positive_Cells,Large_Positive_Eval_Pct,Large_Positive_Eligible_Pct,Large_Negative_Cells,Large_Negative_Eval_Pct,Large_Negative_Eligible_Pct,Mean_Value,Median_Value
Brite,All,Combo6yr,6,all100,1,bin 1/6: low signed-tail side,33,3300,3300,3300,3267,3267,99.000000,0,0.000000,2904,88.000000,363,0,0.000000,0.000000,2904,88.000000,88.888889,-0.888889,-1.000000
Brite,All,Combo6yr,6,all100,2,bin 2/6: low signed-tail side,33,3300,3300,3300,3267,3267,99.000000,0,0.000000,2938,89.030303,329,0,0.000000,0.000000,2938,89.030303,89.929599,-0.898990,-1.000000
Brite,All,Combo6yr,6,all100,3,bin 3/6: low-to-middle signed-cutoff region,34,3400,3400,3400,3366,3366,99.000000,819,24.088235,2285,67.205882,262,705,20.735294,20.944742,2285,67.205882,67.884730,-0.469718,-1.000000
Brite,All,Combo6yr,6,all100,4,bin 4/6: high signed-tail side,33,3300,3300,3300,3267,3267,99.000000,1269,38.454545,1720,52.121212,278,0,0.000000,0.000000,0,0.000000,0.000000,-0.007211,-0.006944
Brite,All,Combo6yr,6,all100,5,bin 5/6: high signed-tail side,33,3300,3300,3300,3267,3267,99.000000,2126,64.424242,877,26.575758,264,434,13.151515,13.284359,105,3.181818,3.213958,0.143722,0.104167
Brite,All,Combo6yr,6,all100,6,bin 6/6: high signed-tail side,33,3300,3300,3300,3267,3267,99.000000,0,0.000000,3003,91.000000,264,0,0.000000,0.000000,2511,76.090909,76.859504,-0.644537,-0.701389
Brite,All,Period1_2015_2017,6,all100,1,bin 1/6: low signed-tail side,33,3300,3300,3300,3267,3267,99.000000,0,0.000000,2874,87.090909,393,0,0.000000,0.000000,2874,87.090909,87.970615,-0.878788,-1.000000
Brite,All,Period1_2015_2017,6,all100,2,bin 2/6: low signed-tail side,33,3300,3300,3300,3267,3267,99.000000,0,0.000000,2983,90.393939,284,0,0.000000,0.000000,2983,90.393939,91.307009,-0.912764,-1.000000
Brite,All,Period1_2015_2017,6,all100,3,bin 3/6: low-to-middle signed-cutoff region,34,3400,3400,3400,3366,3366,99.000000,818,24.058824,2325,68.382353,223,737,21.676471,21.895425,2314,68.058824,68.746286,-0.469683,-1.000000
Brite,All,Period1_2015_2017,6,all100,4,bin 4/6: high signed-tail side,33,3300,3300,3300,3267,3267,99.000000,1196,36.242424,1826,55.333333,245,0,0.000000,0.000000,0,0.000000,0.000000,-0.015895,-0.017361
Brite,All,Period1_2015_2017,6,all100,5,bin 5/6: high signed-tail side,33,3300,3300,3300,3267,3267,99.000000,1724,52.242424,1296,39.272727,247,225,6.818182,6.887052,169,5.121212,5.172942,0.043126,0.013889
Brite,All,Period1_2015_2017,6,all100,6,bin 6/6: high signed-tail side,33,3300,3300,3300,3267,3267,99.000000,0,0.000000,3017,91.424242,250,0,0.000000,0.000000,2782,84.303030,85.154576,-0.784675,-0.965278
Brite,All,Period2_2018_2020,6,all100,1,bin 1/6: low signed-tail side,33,3300,3300,3300,3267,3267,99.000000,0,0.000000,2906,88.060606,361,0,0.000000,0.000000,2906,88.060606,88.950107,-0.889195,-1.000000
Brite,All,Period2_2018_2020,6,all100,2,bin 2/6: low signed-tail side,33,3300,3300,3300,3267,3267,99.000000,0,0.000000,2905,88.030303,362,0,0.000000,0.000000,2905,88.030303,88.919498,-0.889195,-1.000000
Brite,All,Period2_2018_2020,6,all100,3,bin 3/6: low-to-middle signed-cutoff region,34,3400,3400,3400,3366,3366,99.000000,719,21.147059,2361,69.441176,286,585,17.205882,17.379679,2360,69.411765,70.112894,-0.525711,-1.000000
