Analysis_Tier,Domain,Subset,Mode,Diversity_Order,Q_Label,Estimate_Definition,Estimate_Pretty,Q0_Caution,Metric,Metric_Pretty,Reference_Target_SC,Reference_Sweep_Selected,Reference_Sweep_Label,combo_id,output_rel_dir,export_selected
main_q12,Brite,All,2015,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,1,figures/main_q12/Brite/All/2015/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,All,2016,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,2,figures/main_q12/Brite/All/2016/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,All,2017,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,3,figures/main_q12/Brite/All/2017/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,All,2018,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,4,figures/main_q12/Brite/All/2018/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,All,2019,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,5,figures/main_q12/Brite/All/2019/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,All,2020,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,6,figures/main_q12/Brite/All/2020/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,All,Combo6yr,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,7,figures/main_q12/Brite/All/Combo6yr/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,All,Period1_2015_2017,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,8,figures/main_q12/Brite/All/Period1_2015_2017/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,All,Period2_2018_2020,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,9,figures/main_q12/Brite/All/Period2_2018_2020/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,PM,2015,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,10,figures/main_q12/Brite/PM/2015/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,PM,2016,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,11,figures/main_q12/Brite/PM/2016/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,PM,2017,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,12,figures/main_q12/Brite/PM/2017/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,PM,2018,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,13,figures/main_q12/Brite/PM/2018/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,PM,2019,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,14,figures/main_q12/Brite/PM/2019/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,PM,2020,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,15,figures/main_q12/Brite/PM/2020/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,PM,Combo6yr,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,16,figures/main_q12/Brite/PM/Combo6yr/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,PM,Period1_2015_2017,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,17,figures/main_q12/Brite/PM/Period1_2015_2017/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,PM,Period2_2018_2020,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,18,figures/main_q12/Brite/PM/Period2_2018_2020/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,SM,2015,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,19,figures/main_q12/Brite/SM/2015/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,SM,2016,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,20,figures/main_q12/Brite/SM/2016/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
main_q12,Brite,SM,2017,1,q1,Stage2_iNEXT_TD_m_est,Stage2 iNEXT TD.m.est,,CliffsDelta,Cliff's delta,0.965,0.96,0.960,21,figures/main_q12/Brite/SM/2017/q1/Stage2_iNEXT_TD_m_est/CliffsDelta,True
