cutoff_index,cutoff_key,cutoff_side,retain_pct,retain_ratio,cutoff_signed_pct,cutoff_label
1,low_01,low,1,0.01,-1,L01
2,low_02,low,2,0.02,-2,L02
3,low_03,low,3,0.03,-3,L03
4,low_04,low,4,0.04,-4,L04
5,low_05,low,5,0.05,-5,L05
6,low_06,low,6,0.06,-6,L06
7,low_07,low,7,0.07,-7,L07
8,low_08,low,8,0.08,-8,L08
9,low_09,low,9,0.09,-9,L09
10,low_10,low,10,0.1,-10,L10
11,low_11,low,11,0.11,-11,L11
12,low_12,low,12,0.12,-12,L12
13,low_13,low,13,0.13,-13,L13
14,low_14,low,14,0.14,-14,L14
15,low_15,low,15,0.15,-15,L15
16,low_16,low,16,0.16,-16,L16
17,low_17,low,17,0.17,-17,L17
18,low_18,low,18,0.18,-18,L18
19,low_19,low,19,0.19,-19,L19
20,low_20,low,20,0.2,-20,L20
21,low_21,low,21,0.21,-21,L21
22,low_22,low,22,0.22,-22,L22
23,low_23,low,23,0.23,-23,L23
24,low_24,low,24,0.24,-24,L24
25,low_25,low,25,0.25,-25,L25
26,low_26,low,26,0.26,-26,L26
27,low_27,low,27,0.27,-27,L27
28,low_28,low,28,0.28,-28,L28
29,low_29,low,29,0.29,-29,L29
30,low_30,low,30,0.3,-30,L30
31,low_31,low,31,0.31,-31,L31
32,low_32,low,32,0.32,-32,L32
33,low_33,low,33,0.33,-33,L33
34,low_34,low,34,0.34,-34,L34
35,low_35,low,35,0.35,-35,L35
36,low_36,low,36,0.36,-36,L36
37,low_37,low,37,0.37,-37,L37
38,low_38,low,38,0.38,-38,L38
39,low_39,low,39,0.39,-39,L39
40,low_40,low,40,0.4,-40,L40
41,low_41,low,41,0.41,-41,L41
42,low_42,low,42,0.42,-42,L42
43,low_43,low,43,0.43,-43,L43
44,low_44,low,44,0.44,-44,L44
45,low_45,low,45,0.45,-45,L45
46,low_46,low,46,0.46,-46,L46
47,low_47,low,47,0.47,-47,L47
48,low_48,low,48,0.48,-48,L48
49,low_49,low,49,0.49,-49,L49
50,low_50,low,50,0.5,-50,L50
51,low_51,low,51,0.51,-51,L51
52,low_52,low,52,0.52,-52,L52
53,low_53,low,53,0.53,-53,L53
54,low_54,low,54,0.54,-54,L54
55,low_55,low,55,0.55,-55,L55
56,low_56,low,56,0.56,-56,L56
57,low_57,low,57,0.57,-57,L57
58,low_58,low,58,0.58,-58,L58
59,low_59,low,59,0.59,-59,L59
60,low_60,low,60,0.6,-60,L60
61,low_61,low,61,0.61,-61,L61
62,low_62,low,62,0.62,-62,L62
63,low_63,low,63,0.63,-63,L63
64,low_64,low,64,0.64,-64,L64
65,low_65,low,65,0.65,-65,L65
66,low_66,low,66,0.66,-66,L66
67,low_67,low,67,0.67,-67,L67
68,low_68,low,68,0.68,-68,L68
