Mode,Tag,Group,Year,Column
2015,conv 2015,conv,2015,Low-EI 2015
2015,syneco 2015,syneco,2015,High-EI 2015
2016,conv 2016,conv,2016,Low-EI 2016
2016,syneco 2016,syneco,2016,High-EI 2016
2017,conv 2017,conv,2017,Low-EI 2017
2017,syneco 2017,syneco,2017,High-EI 2017
2018,conv 2018,conv,2018,Low-EI 2018
2018,syneco 2018,syneco,2018,High-EI 2018
2019,conv 2019,conv,2019,Low-EI 2019
2019,syneco 2019,syneco,2019,High-EI 2019
2020,conv 2020,conv,2020,Low-EI 2020
2020,syneco 2020,syneco,2020,High-EI 2020
Combo6yr,conv 2015,conv,2015,Low-EI 2015
Combo6yr,conv 2016,conv,2016,Low-EI 2016
Combo6yr,conv 2017,conv,2017,Low-EI 2017
Combo6yr,conv 2018,conv,2018,Low-EI 2018
Combo6yr,conv 2019,conv,2019,Low-EI 2019
Combo6yr,conv 2020,conv,2020,Low-EI 2020
Combo6yr,syneco 2015,syneco,2015,High-EI 2015
Combo6yr,syneco 2016,syneco,2016,High-EI 2016
Combo6yr,syneco 2017,syneco,2017,High-EI 2017
Combo6yr,syneco 2018,syneco,2018,High-EI 2018
Combo6yr,syneco 2019,syneco,2019,High-EI 2019
Combo6yr,syneco 2020,syneco,2020,High-EI 2020
Period1_2015_2017,conv 2015,conv,2015,Low-EI 2015
Period1_2015_2017,conv 2016,conv,2016,Low-EI 2016
Period1_2015_2017,conv 2017,conv,2017,Low-EI 2017
Period1_2015_2017,syneco 2015,syneco,2015,High-EI 2015
Period1_2015_2017,syneco 2016,syneco,2016,High-EI 2016
Period1_2015_2017,syneco 2017,syneco,2017,High-EI 2017
Period2_2018_2020,conv 2018,conv,2018,Low-EI 2018
Period2_2018_2020,conv 2019,conv,2019,Low-EI 2019
Period2_2018_2020,conv 2020,conv,2020,Low-EI 2020
Period2_2018_2020,syneco 2018,syneco,2018,High-EI 2018
Period2_2018_2020,syneco 2019,syneco,2019,High-EI 2019
Period2_2018_2020,syneco 2020,syneco,2020,High-EI 2020
